Forex,order,n_b,n_c,1,2,3,4,5,6,7,8,9,10,11,12,MAE
XAUUSD_,1,4,5,0.06013981475765959,0.06653240755305583,0.14063138471145192,0.22245174490819383,1.0062097037818993,0.3354256767903103,0.4972286965175515,0.039399362838678245,0.10080472334160445,0.05212033458892235,1.0443682003315193,0.07396870939214993,0.3032733966260831
XAUUSD_,1,4,6,0.08946684392042491,0.18570106018042712,0.028308236076830074,0.17778243898385257,1.0182106217359308,0.27295098052815914,0.4389507324113605,0.012564068384826623,0.11179055860945726,0.06539094943378698,0.9080995848944605,0.04388266827165184,0.2794248952859307
XAUUSD_,1,5,1,0.005143181414381984,0.1846000225476899,0.15731139417814827,0.19752347736164558,1.0656733997165173,0.293017733791946,0.36240209559641073,0.0056406317860396285,0.025327813704238217,0.03533602660426529,1.104327290681499,0.005632430184718467,0.28682795813062506
XAUUSD_,1,5,2,0.17100544603618578,0.12256781043937816,0.17400729451987298,0.19560295084741167,1.0451431808141058,0.27712338473124026,0.46200144575363616,0.047487210438612294,0.4157603890169736,0.09642578760927599,1.132258677027024,0.025614307945982323,0.3470831570983082
XAUUSD_,1,5,3,0.013100062843687607,0.12237673672664717,0.1509548885314522,0.18851428932998934,1.0491089129950995,0.25593301711199046,0.4444737196635444,0.013114218786050794,0.0541407761763634,0.06990082030942944,1.1295652694898166,0.05118105726990245,0.2951969807694978
XAUUSD_,1,5,4,0.061932027791213276,0.1091533257634904,0.1271716769718904,0.18606751700777993,1.0103274341483388,0.29428983424144456,0.47481632963031334,0.03806400377481681,0.07806208278438201,0.08742241547958422,1.0663252138926569,0.09479158823256717,0.3023686208098732
XAUUSD_,1,5,5,0.062240715277385755,0.052453853465998464,0.1463506372683062,0.22148397718583182,1.016410588534466,0.33442403539664806,0.5016675609294928,0.03906425486276326,0.096795967278459,0.05174983143775677,1.0455083476363958,0.08709285994495208,0.3046035524348713
XAUUSD_,1,5,6,0.08633586567284925,0.17109597762059886,0.027022935814836033,0.17770639330803686,1.0212913133410584,0.2791415250982248,0.45230571360432814,0.012138830363230092,0.10787387164424166,0.06476366866162042,0.9083351102390202,0.028701554735185222,0.27805939667526913
XAUUSD_,1,6,1,0.0031691710718865533,0.2730072963803732,0.15812045567222413,0.20795257756576188,1.0647605657573829,0.31447942192454914,0.3722701703235502,0.01273160880363224,0.017259225622232494,0.02095319494212988,1.1028396500862911,0.039321963282327566,0.29890544178602846
XAUUSD_,1,6,2,0.0760067057170171,0.12273150804502089,0.1632994851935246,0.20625680750730857,1.0383462783522153,0.3018627909745959,0.4746507036528762,0.020005221637499838,0.10255322408727086,0.059400819210212896,1.1522650287344731,0.07463079032919759,0.31600078028676776
XAUUSD_,1,6,3,0.011972849469338525,0.12208769342950465,0.15223409904266463,0.20375338420459385,1.0415355492204508,0.29289826413567804,0.45748199519438526,0.006264514428072381,0.034994019520363434,0.04823036787121446,1.1462623486427903,0.09320727637479558,0.30091019679448766
XAUUSD_,1,6,4,0.06169425296023661,0.1174550301256781,0.12452074675805805,0.20299491914707057,1.0022716450368336,0.3367685465262837,0.4898607486784931,0.046528650413260986,0.07080517529594631,0.04876662380436181,1.0916402865223407,0.10235842918807023,0.30797208787138614
XAUUSD_,1,6,5,0.0873246416989257,0.08274651970973275,0.15209917821947638,0.23242613803525664,1.0077969954150259,0.374326286115847,0.5084047547757259,0.049801884157098304,0.09514398170738274,0.01440428377731032,1.0458611270234488,0.100882057078794,0.312601487309502
XAUUSD_,1,6,6,0.08052006492439424,0.22056017992264082,0.008587673398577666,0.2178809702232153,1.001671148654696,0.3212803865819906,0.46932761849263416,0.04436554807290276,0.08230326666755661,0.0011490414105074789,0.8944203476837619,0.02796092937465072,0.28083559795062735
XAUUSD_,2,1,1,0.0067474597840056685,0.1229080239021535,0.1443540695820356,0.1895448944600173,1.0404213233994064,0.2851158393274309,0.4802552190374633,0.010731491940292643,0.05409415280494296,0.05481333038432106,1.111592678176146,0.006051251709475124,0.2922191445423076
XAUUSD_,2,1,2,0.06131996797772392,0.08610541303022352,0.16894566621647528,0.19270161326458263,1.0282133806989555,0.27560632134722274,0.4849149326644668,0.13050778650913608,0.2882359155276726,0.09119533430453097,1.112879525521107,0.02523927296741901,0.3288220941691264
XAUUSD_,2,1,3,0.0027329599558154555,0.06090348053801418,0.10256760963243403,0.15778389342351218,1.0415636562074269,0.2250772368076727,0.5399000835137958,0.04064180012747519,0.03206048302825798,0.0028315103768298184,1.1396274439658638,0.0546080734695137,0.28335818592055095
