Gmt time,Open,High,Low,Close,Volume
06.02.2017 00:00:00.000,53.895,54.095,52.885,53.145,357784.9865
07.02.2017 00:00:00.000,53.150,53.205,51.195,51.250,437036.0076
08.02.2017 00:00:00.000,51.245,52.635,51.235,52.455,564383.9836
09.02.2017 00:00:00.000,52.450,53.185,52.425,53.055,740297.0195
10.02.2017 00:00:00.000,53.050,54.085,52.865,53.755,1055848.9561
11.02.2017 00:00:00.000,53.755,53.755,53.755,53.755,0
12.02.2017 00:00:00.000,53.765,53.920,53.765,53.835,13299.9998
13.02.2017 00:00:00.000,53.830,53.860,52.735,52.970,1039610.0283
14.02.2017 00:00:00.000,52.975,53.685,52.835,53.025,1262362.957
15.02.2017 00:00:00.000,53.029,53.480,52.705,53.005,1262608.0513
16.02.2017 00:00:00.000,53.009,53.555,52.655,53.385,1787742.0187
17.02.2017 00:00:00.000,53.380,53.490,52.859,53.345,1102442.0261
18.02.2017 00:00:00.000,53.345,53.345,53.345,53.345,0
19.02.2017 00:00:00.000,53.395,53.550,53.355,53.355,6335.9998
20.02.2017 00:00:00.000,53.365,53.985,53.324,53.935,314622.0148
21.02.2017 00:00:00.000,53.945,54.995,53.925,54.295,1291142.9405
22.02.2017 00:00:00.000,54.290,54.565,53.335,53.985,1390686.9888
23.02.2017 00:00:00.000,53.980,54.895,53.914,54.335,1411620.0209
24.02.2017 00:00:00.000,54.325,54.475,53.725,54.010,856527.9841
25.02.2017 00:00:00.000,54.010,54.010,54.010,54.010,0
26.02.2017 00:00:00.000,54.005,54.030,53.964,53.970,16038.0006
27.02.2017 00:00:00.000,53.965,54.580,53.914,54.035,1010467.0525
28.02.2017 00:00:00.000,54.039,54.195,53.160,53.890,1184762.9547
01.03.2017 00:00:00.000,53.885,54.395,53.609,53.695,1264889.0018
02.03.2017 00:00:00.000,53.690,53.764,52.510,52.655,1444829.9408
03.03.2017 00:00:00.000,52.660,53.355,52.549,53.205,942013.0253
04.03.2017 00:00:00.000,53.205,53.205,53.205,53.205,0
05.03.2017 00:00:00.000,53.330,53.335,53.180,53.244,10761.0002
06.03.2017 00:00:00.000,53.249,53.525,52.735,53.125,832356.9894
07.03.2017 00:00:00.000,53.119,53.760,52.694,52.855,768534.0047
08.03.2017 00:00:00.000,52.845,52.885,50.025,50.325,1061848.9981
09.03.2017 00:00:00.000,50.335,50.805,48.575,49.525,1355044.961
10.03.2017 00:00:00.000,49.515,50.075,48.295,48.310,892498.0164
11.03.2017 00:00:00.000,48.310,48.310,48.310,48.310,0
12.03.2017 00:00:00.000,48.124,48.149,47.885,48.014,48441.9987
13.03.2017 00:00:00.000,48.024,48.645,47.925,48.335,839178.9794
14.03.2017 00:00:00.000,48.339,48.820,47.065,48.445,1158725.9769
15.03.2017 00:00:00.000,48.449,49.130,48.135,49.060,1546661.973
16.03.2017 00:00:00.000,49.055,49.585,48.425,48.785,1340211.9875
17.03.2017 00:00:00.000,48.785,49.165,48.575,48.680,1052018.0464
18.03.2017 00:00:00.000,48.680,48.680,48.680,48.680,0
19.03.2017 00:00:00.000,48.655,48.665,48.580,48.580,10727.9997
20.03.2017 00:00:00.000,48.590,49.000,47.810,48.930,797559.9766
21.03.2017 00:00:00.000,48.940,49.440,47.965,48.050,924600.0051
22.03.2017 00:00:00.000,48.060,48.285,47.025,48.235,1176488.0419
23.03.2017 00:00:00.000,48.225,48.435,47.545,47.745,738691.9856
24.03.2017 00:00:00.000,47.755,48.165,47.525,48.105,426438.0038
25.03.2017 00:00:00.000,48.105,48.105,48.105,48.105,0
26.03.2017 00:00:00.000,48.055,48.245,47.940,48.165,32446.9991
